Time,Var 1,Var 2,Var3,Var 4 A,Var 5 1
13.9000,5.1640,1.8718,-0.1244,4.1004,7.6775
13.9500,4.0419,0.3219,0.2392,4.3123,8.6365
14.0000,2.1766,-0.6144,0.5950,4.6856,9.1986
14.0500,-0.0862,-0.6322,0.8223,5.1964,9.2140
14.1000,-2.1936,0.2438,1.0998,5.7541,8.5816
14.1500,-3.6997,1.5712,1.8471,6.3451,7.2397
14.2000,-4.4966,2.6264,3.2892,6.9081,5.1089
14.2500,-4.6571,2.7715,5.1113,7.1247,2.2047
14.3000,-4.1610,1.8723,6.5860,6.6282,-1.0241
14.3500,-2.9785,0.5213,7.2304,5.4477,-3.7272
14.4000,-1.3859,-0.3750,7.2799,3.9256,-5.3338
14.4500,0.0508,-0.3573,7.2344,2.2696,-5.8842
14.5000,0.8421,0.3782,7.2629,0.4986,-5.6675
14.5500,0.8699,1.3096,7.2362,-1.3184,-4.8707
14.6000,0.4312,2.0095,7.0367,-2.9361,-3.5570
14.6500,0.0453,2.4035,6.6736,-4.0598,-1.8403
14.7000,0.1333,2.6900,6.1907,-4.5597,0.0002
14.7500,0.8256,3.0496,5.5779,-4.5304,1.6105
14.8000,2.0047,3.4827,4.7767,-4.1853,2.7363
14.8500,3.4387,3.8536,3.7343,-3.7203,3.2977
14.9000,4.8791,3.9968,2.4676,-3.2374,3.3521
14.9500,6.1180,3.7996,1.1058,-2.7505,3.0370
